iter	Passed	Remaining
470	705	792
471	706	790
472	707	788
473	708	786
474	709	784
475	710	782
476	711	780
477	712	778
478	713	776
479	714	774
480	716	772
481	717	771
482	718	769
483	719	767
484	720	765
485	721	763
486	722	761
487	723	759
488	724	757
489	726	755
490	727	753
491	728	751
492	729	750
493	730	748
494	731	746
495	733	744
496	734	743
497	735	741
498	736	739
499	737	737
500	738	735
501	739	734
502	741	732
503	742	730
504	743	728
505	744	726
506	745	725
507	747	723
508	748	722
509	750	720
510	751	718
511	752	717
512	753	715
513	754	713
514	755	711
515	756	710
516	758	708
517	759	706
518	760	705
519	762	703
520	763	701
521	764	700
522	765	698
523	766	696
524	768	694
525	769	693
526	770	691
527	771	689
528	772	687
529	773	685
530	774	683
531	775	682
532	776	680
533	778	679
534	779	677
535	780	675
536	782	674
537	783	672
538	784	670
539	785	669
540	786	667
541	787	665
542	788	663
543	790	662
544	791	660
545	793	659
546	794	657
547	795	656
548	796	654
549	797	652
550	799	651
551	800	649
552	801	647
553	802	646
554	803	644
555	804	642
556	806	641
557	807	639
558	808	638
559	809	636
560	811	634
561	812	632
562	813	631
563	814	629
564	815	627
565	816	626
566	817	624
567	818	622
568	819	621
569	821	619
570	822	618
571	823	616
572	824	614
573	826	613
574	827	611
575	828	609
576	829	608
577	830	606
578	831	604
579	832	603
580	834	601
581	835	599
582	836	598
583	838	597
584	839	595
585	840	594
586	842	592
587	843	590
588	844	589
589	845	587
590	846	586
591	848	584
592	849	582
593	850	581
594	851	579
595	853	578
596	854	576
597	855	575
598	856	573
599	857	571
600	858	570
601	859	568
602	861	566
603	862	565
604	863	563
605	864	561
606	865	560
607	867	559
608	869	557
609	870	556
610	871	554
611	872	553
612	873	551
613	874	550
614	876	548
615	877	546
616	878	545
617	879	543
618	881	542
619	882	540
620	884	539
621	885	537
622	887	536
623	888	535
624	889	533
625	890	532
626	891	530
627	892	528
628	893	527
629	895	525
630	896	524
631	898	523
632	899	521
633	900	520
634	901	518
635	903	516
636	904	515
637	905	513
638	906	512
639	907	510
640	908	509
641	910	507
642	911	505
643	912	504
644	914	503
645	915	501
646	916	499
647	917	498
648	918	496
649	919	495
650	920	493
651	921	491
652	923	490
653	924	489
654	925	487
655	926	485
656	928	484
657	930	483
658	932	482
659	933	480
660	934	479
661	935	477
662	937	476
663	938	474
664	939	473
665	940	471
666	941	470
667	943	468
668	944	467
669	945	465
670	946	464
671	948	462
672	949	461
673	950	459
674	951	458
675	952	456
676	953	454
677	954	453
678	955	451
679	957	450
680	958	448
681	959	447
682	961	446
683	962	444
684	963	442
685	964	441
686	965	439
687	966	438
688	968	437
689	969	435
690	970	434
691	971	432
692	973	431
693	974	429
694	976	428
695	977	426
696	978	425
697	979	423
698	980	422
699	981	420
700	982	419
701	987	419
702	989	417
703	990	416
704	991	415
705	993	413
706	994	412
707	995	410
708	996	409
709	998	407
710	1001	406
711	1003	405
712	1005	404
713	1007	403
714	1008	402
715	1010	400
716	1012	399
717	1014	398
718	1018	397
719	1020	396
720	1021	395
721	1023	394
722	1025	392
723	1026	391
724	1027	389
725	1029	388
726	1030	387
727	1032	385
728	1033	384
729	1034	382
730	1036	381
731	1038	380
732	1039	378
733	1040	377
734	1041	375
735	1043	374
736	1044	372
737	1046	371
738	1047	369
739	1048	368
740	1050	367
741	1051	365
742	1052	364
743	1055	363
744	1056	361
745	1058	360
746	1062	359
747	1064	358
748	1069	358
749	1070	356
750	1072	355
751	1074	354
752	1081	354
753	1082	353
754	1084	351
755	1085	350
756	1087	349
757	1088	347
758	1090	346
759	1093	345
760	1095	343
761	1097	342
762	1098	341
763	1100	339
764	1101	338
765	1102	336
766	1104	335
767	1105	334
768	1108	333
769	1110	331
770	1111	330
771	1113	328
772	1115	327
773	1116	326
774	1118	324
775	1119	323
776	1121	321
777	1123	320
778	1125	319
779	1126	317
780	1128	316
781	1130	315
782	1131	313
783	1133	312
784	1134	310
785	1136	309
786	1139	308
787	1140	306
788	1142	305
789	1143	303
790	1144	302
791	1146	301
792	1147	299
793	1149	298
794	1151	296
795	1153	295
796	1155	294
797	1156	292
798	1158	291
799	1160	290
800	1161	288
801	1162	287
802	1163	285
803	1165	284
804	1166	282
805	1169	281
806	1171	280
807	1172	278
808	1173	277
809	1175	275
810	1177	274
811	1178	272
812	1181	271
813	1182	270
814	1183	268
815	1185	267
816	1187	265
817	1188	264
818	1189	262
819	1190	261
820	1191	259
821	1193	258
822	1194	256
823	1196	255
824	1197	253
825	1200	252
826	1201	251
827	1202	249
828	1204	248
829	1205	246
830	1207	245
831	1208	244
832	1210	242
833	1211	241
834	1213	239
835	1215	238
836	1216	236
837	1217	235
838	1219	233
839	1222	232
840	1223	231
841	1225	229
842	1226	228
843	1227	226
844	1229	225
845	1230	224
846	1231	222
847	1233	221
848	1234	219
849	1235	218
850	1237	216
851	1238	215
852	1239	213
853	1241	212
854	1243	210
855	1244	209
856	1246	207
857	1247	206
858	1249	205
859	1250	203
860	1251	202
861	1253	200
862	1254	199
863	1256	197
864	1257	196
865	1259	194
866	1260	193
867	1261	191
868	1263	190
869	1265	189
870	1266	187
871	1267	186
872	1268	184
873	1270	183
874	1271	181
875	1272	180
876	1274	178
877	1275	177
878	1276	175
879	1277	174
880	1278	172
881	1279	171
882	1280	169
883	1281	168
884	1282	166
885	1284	165
886	1285	163
887	1286	162
888	1287	160
889	1289	159
890	1291	157
891	1292	156
892	1293	155
893	1294	153
894	1295	152
895	1297	150
896	1298	149
897	1299	147
898	1300	146
899	1301	144
900	1304	143
901	1305	141
902	1306	140
903	1308	138
904	1309	137
905	1310	135
906	1311	134
907	1312	132
908	1313	131
909	1314	130
910	1315	128
911	1317	127
912	1318	125
913	1320	124
914	1321	122
915	1322	121
916	1323	119
917	1325	118
918	1326	116
919	1327	115
920	1328	113
921	1329	112
922	1330	110
923	1331	109
924	1332	108
925	1334	106
926	1335	105
927	1336	103
928	1337	102
929	1338	100
930	1340	99
931	1341	97
932	1342	96
933	1343	94
934	1344	93
935	1345	92
936	1347	90
937	1348	89
938	1350	87
939	1351	86
940	1352	84
941	1353	83
942	1355	81
943	1357	80
944	1358	79
945	1359	77
946	1360	76
947	1361	74
948	1363	73
949	1365	71
950	1366	70
951	1368	68
952	1369	67
953	1370	66
954	1371	64
955	1372	63
956	1373	61
957	1374	60
958	1375	58
959	1376	57
960	1377	55
961	1379	54
962	1381	53
963	1383	51
964	1384	50
965	1385	48
966	1386	47
967	1387	45
968	1388	44
969	1389	42
970	1391	41
971	1392	40
972	1393	38
973	1395	37
974	1396	35
975	1397	34
976	1399	32
977	1400	31
978	1401	30
979	1402	28
980	1403	27
981	1404	25
982	1405	24
983	1407	22
984	1408	21
985	1410	20
986	1411	18
987	1412	17
988	1414	15
989	1415	14
990	1416	12
991	1417	11
992	1418	10
993	1420	8
994	1421	7
995	1423	5
996	1426	4
997	1427	2
998	1428	1
999	1429	0
